1.000000000000000000e+00,1.837045000522199837e-05
2.000000000000000000e+00,3.364561262960462754e-06
2.500000000000000000e+00,1.509980020005080178e-06
3.000000000000000000e+00,1.028620806893741170e-06
4.000000000000000000e+00,5.399585076910954088e-07
4.500000000000000000e+00,5.479943696768999131e-07
5.000000000000000000e+00,6.327350692462299828e-07
5.000000000000000000e+00,1.455111848792246265e-06
4.500000000000000000e+00,6.669842522059437947e-06
4.000000000000000000e+00,1.158281953917797107e-05
3.500000000000000000e+00,2.790556066024566510e-05
3.000000000000000000e+00,9.921939557887517116e-05
2.500000000000000000e+00,5.963638246275201676e-04
2.000000000000000000e+00,9.903096519797033662e-03
1.000000000000000000e+00,3.000000000000000000e+00
